Case Summary,Case Status,Case Source,Case Created Date,Case Created dttm,Case Closed Date,Case Closed dttm,First Call Resolution,Customer Zip Code,Incident Address 1,Incident Address 2,Incident Intersection 1,Incident Intersection 2,Incident Zip Code,Longitude,Latitude,Agency,Division,Major Area,Type,Topic,Council District,Police District,Neighborhood
Loose Dog Without Owner / Leash Law Violation,Closed - Other,Phone,10/6/2015,10/6/2015 12:39,10/6/2015,10/6/2015 23:59,N,80219,W Alameda Ave,S Xavier St,,,,0,0,Environmental Health,,,Complaint,,,,
Bus Stop Problems,Closed - Other,Phone,9/29/2015,9/29/2015 8:31,10/6/2015,10/6/2015 23:59,N,80211,W 32nd Ave,Irving St,,,80211,0,0,External Agency,,,Complaint,,,,
Dog/Animal in Vehicle,Closed - Other,Phone,10/8/2015,10/8/2015 14:59,10/8/2015,10/8/2015 23:59,Y,80204,W 19th Ave,Federal Blvd,,,,0,0,Environmental Health,,,Complaint,,,,
wild animal report,Routed to Agency,Phone,12/23/2015,12/23/2015 21:51,,,,,Unknown,,,,,,,Parks & Recreation,,,Request,,,,
Police Department General Inquiry,Closed - Other,Email,6/11/2015,6/11/2015 14:24,6/18/2015,6/18/2015 23:59,N,80207-1215,There Is A Recreation Vehicle Parked On The South Side,,,,,0,0,311,,,Inquiry,,,,
Pothole needs repair,Closed - Other,PocketGov,4/21/2015,4/21/2015 8:32,5/5/2015,5/5/2015 23:59,N,,Tamarac,Eastman,,,,0,0,Public Works,,,Request,,,,
Loose Dog Without Owner / Leash Law Violation,Closed - Other,Phone,9/30/2015,9/30/2015 7:55,11/4/2015,11/4/2015 23:59,N,80205,Steele St,Brucerandolph Ave,,,,0,0,Environmental Health,,,Complaint,,,,
Pothole needs repair,Closed - Other,Phone,6/4/2015,6/4/2015 15:17,6/10/2015,6/10/2015 23:59,N,80216,Stapleton Drive,Holly,,,,0,0,Public Works,,,Request,,,,
Dangerous / Vicious Animals / Dog Attack of Another Animal,Closed - Other,Phone,4/18/2015,4/18/2015 13:16,4/18/2015,4/18/2015 23:59,N,80236,Sheridan,Dartmouth,,,,0,0,Environmental Health,,,Complaint,,,,
Pothole needs repair,Closed - Other,PocketGov,3/11/2015,3/11/2015 22:22,3/14/2015,3/14/2015 23:59,N,,S. Acoma St,W. Arizona,,,,0,0,Public Works,,,Request,,,,
property tax payment question,Closed - Answer Provided,Phone,12/10/2015,12/10/2015 22:37,12/10/2015,12/10/2015 22:39,N,,RTA Anonymous,,,,,,,Finance,,,Inquiry,,,,
Traffic Signal Timing,Routed to Agency,Phone,4/24/2015,4/24/2015 8:27,,,,80123,Quincy,Sheridan,,,,0,0,Public Works,,,Request,,,,
Senior Citizen Exemption Application,Closed - Other,Phone,2/13/2015,2/13/2015 16:49,2/17/2015,2/17/2015 23:59,N,80203-4006,Po Box 9888,,,,80209-0888,-105,40,Finance,,,Inquiry,,6,3,Washington Park
